issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"I’m sorry, but we can’t restore your workspace access directly.

When a member is removed from a Team or Enterprise organization, they lose access immediately, and access is controlled by your organization’s admins/owners. Your Primary Owner can also remove your access.

What you can do:
- Contact your organization’s Admin, Owner, or Primary Owner and ask them to re-add you.
- If you’re on Enterprise, an admin may also be able to restore access by assigning you an available seat, or an Owner/Primary Owner may need to purchase an additional seat if none are available.
- If your organization uses SSO/SCIM, your IT team may need to reprovision you through your Identity Provider.

If they re-add you using the same email address, your account history will be maintained.",admin_management,Replied,invalid,"Only organization admins/owners can add, remove, unassign, or reassign seats, and removed members lose access immediately, so a non-admin user cannot have access restored directly without an admin re-adding them or reassigning a seat."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Hi — I’m sorry about the experience.

HackerRank can help troubleshoot technical issues, but we cannot:
- review or change your score
- share results
- tell a company to move you to the next round
- participate in hiring decisions

For score disputes or requests to advance, please contact your recruiter or hiring team directly.

If you believe a platform issue affected your test, share the details with them:
- what happened
- test name
- approximate date/time
- any error messages or screenshots

If they believe a platform-related issue impacted your performance, they can escalate it to HackerRank Support for investigation. HackerRank recommends the hiring team consider a retest if the experience was disrupted.",general_help,Replied,invalid,The response cites HackerRank documentation to answer a support-domain question about candidate experience and when issues must be escalated through the recruiter or hiring team.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"I’m sorry this happened. Visa can’t directly issue a refund or ban a seller, and Visa does not service cardholder or merchant accounts directly.

What you should do:
1. Contact your card issuer/bank using the phone number on the front or back of your Visa card and ask to dispute the charge. Your issuer may require detailed transaction information.
2. If you have concerns about the merchant, you can also report it here: https://usa.visa.com/Forms/visa-rules.html

If you want, I can help you draft a short dispute summary for your bank.",dispute_resolution,Replied,product_issue,"The response cites documentation stating that charge disputes are handled by the card issuer/bank and provides the appropriate merchant reporting path, so it can be answered directly from support docs."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Sorry your mock interview stopped midway.

For refund requests, please contact **help@hackerrank.com**. Per HackerRank’s policy, if you’re **not satisfied with your mock interview**, the support team can **review your request promptly**.

If you email them, include:
- your HackerRank account email
- purchase details
- when the mock interview stopped
- any relevant screenshots/errors

Also, your purchased **mock interview credits do not expire**.",subscriptions_payments_and_billing,Replied,product_issue,"The issue can be answered directly from the documentation, which states that refund requests for mock interviews should be directed to help@hackerrank.com for review."
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"Yes — if your payment failed, please refresh the page and try again.

If any amount was deducted incorrectly, it will be refunded within **5–10 business days**.

If this was an accidental purchase or you want a refund review, please contact **help@hackerrank.com** and include your **order ID: cs_live_abcdefgh**.",subscriptions_payments_and_billing,Replied,product_issue,"The issue can be answered directly from the provided documentation about payment retries, refunds, and billing support contact."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Escalate to a human,general_help,Escalated,product_issue,"The request involves a company-specific security/procurement review that documentation does not provide a self-service support path for, so it should be handled by a human/account representative."
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"Hi, please first log in to **HackerRank Community** and then go to the **Apply** tab to view available jobs.

If you still do not see the **Apply** tab, try accessing it from the Community site after login:
- Log in here: https://www.hackerrank.com/auth/login

If your goal is to practice, please note the **Apply** tab is for **job applications**, not practice challenges.

If you want to use job applications with QuickApply, you can also set it up by:
- Opening the **Apply** tab
- Selecting **See how it works**
- Installing the **HackerRank QuickApply** Chrome extension

QuickApply Chrome extension:
https://chromewebstore.google.com/detail/hackerrank-quickapply/mmlghgaenodejbokcogohcjelnogcckl?hl=en

",community,Replied,product_issue,"The issue can be answered directly from the documentation, which states that the Apply tab is available on HackerRank Community for job search and QuickApply."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Escalate to a human,screen,Escalated,bug,The documentation only covers general candidate troubleshooting and indicates that broader submission failures across challenges require deeper investigation beyond what the docs can safely resolve.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Hi,

If the compatibility check is failing only on **Zoom connectivity**, please check the following:

- Use the **latest version** of **Google Chrome, Microsoft Edge, or Mozilla Firefox**
- Make sure these Zoom domains are **not blocked** on your network:
  - `zoom.us`
  - `*.zoom.us`
  - `*.*.zoom.us`

For Interviews, these may also need to be allowlisted:
- `twilio.com`
- `twiliocdn.com`
- `*.twilio.com`
- `*.*.twilio.com`
- `*.twiliocdn.com`

Please rerun the check here:  
**https://www.hackerrank.com/compatibility**

If it still fails, contact **support@hackerrank.com** and include a **screenshot of the compatibility error**.",interviews,Replied,product_issue,"The issue can be answered directly from the documentation, which explains common Zoom-powered compatibility causes and recommended troubleshooting steps."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Thanks for reaching out. HackerRank Support isn’t authorized to reschedule assessments or provide alternate test times.

Please contact your recruiter or hiring team at Company Name directly to request a new assessment date/time. They handle all rescheduling decisions.

If you experienced a technical issue that affected your ability to take the test, share these details with them as well:
- your email address
- assessment name
- approximate date/time of the issue
- what happened

If needed, the hiring team can then escalate the issue to HackerRank Support on your behalf.",screen,Replied,invalid,"The issue can be answered directly from HackerRank documentation, which says support cannot reschedule assessments or interviews and the candidate should contact their recruiter or hiring team."
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,"Here’s what’s currently documented for Interview inactivity / lobby behavior:

- **Candidates are automatically pushed back to the lobby when all interviewers leave the interview.**
- If an interviewer clicks **Leave Interview** and **no other interviewers are present**, **the candidate moves to the lobby**, and **the interview ends automatically after 1 hour of inactivity**.
- Separately, if **no interviewer joins within 3 minutes** of a scheduled interview, **candidates are automatically moved to the lobby**.

I could **not find any documented separate inactivity timeout for candidate vs interviewer**, nor any documentation that this timeout is configurable/extendable.

So based on the available docs:
- There is **no documented different inactivity timer** for candidate vs interviewer.
- The behavior you’re seeing is most consistent with the platform detecting that **no interviewer is present** in the room, which moves the candidate to the lobby.
- I’m **not able to confirm from the docs** that this timeout can be extended.",interviews,Replied,product_issue,The answer is supported by the provided documentation and can be addressed directly without escalation.
"it’s not working, help",Help needed,None,Escalate to a human,,Escalated,invalid,"The issue is too vague to resolve safely from documentation and no relevant support articles were found, so it requires human follow-up to gather details."
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"Hi! To remove an interviewer from the platform/team, you need **Company Admin** or **Team Admin** access.

Steps:
1. Log in to **HackerRank for Work**
2. Click your **profile icon** (top-right)
3. Go to **Teams Management**
4. Open the **Teams** tab
5. Select the relevant team
6. Go to the **Users** tab
7. Find the user and click the **delete icon** in the **Action** column

If you don’t see the delete option, it likely means you don’t have the required admin access.",settings,Replied,product_issue,"The documentation shows that user removal is managed through Team Management rather than the three-dot menu on the user row, and team/user modification requires the appropriate admin entitlements."
"Hi, please pause our subscription. We have stopped all hiring efforts for now.",Subscription pause,HackerRank,"Hi — if you’re on an eligible **individual self-serve monthly plan**, you can pause the subscription yourself.

**Eligible plans**
- **Individual Monthly - Basic**
- **Interview Monthly**

**Requirements**
- Subscription must be **active** and started **at least 30 days ago**

**To pause**
1. Go to **Profile icon > Settings**
2. Open **Subscription > Billing**
3. Click **Cancel Plan**
4. Select **Pause Subscription**
5. Choose a pause length (**1 to 12 months**)
6. Click **Confirm Pause**

Your subscription will automatically resume on the date shown in the confirmation.

Note: During the pause, you won’t be able to access the HackerRank account. You can also **resume early** anytime from the **Billing** page.

If your subscription is not one of the eligible individual monthly plans above, the pause option will not be available.",settings,Replied,product_issue,"The issue can be answered directly from the documentation, which states that only customers can self-serve pause eligible individual monthly subscriptions after 30 days."
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,"If all requests are failing, first check **https://status.claude.com** for any confirmed service incident or outage.

If there’s **no active incident**, common causes are local network issues. Please try:

- **Disable any VPN**
- Check for **firewall or network rules** blocking the Claude API endpoint
- Update your firewall/network settings to **allow the connection**
- If using the Claude app/web, also try disabling browser extensions and clearing cache/cookies

If the error specifically says **“Due to unexpected capacity constraints…”**, that’s temporary high demand, not an outage—please try again in a few minutes.

If it’s specifically an **API connection error** and the above doesn’t help, contact Support via the Help Center chat icon or in Claude Console under **Get help**.",troubleshooting,Replied,bug,"The issue can be answered directly from the documented troubleshooting guidance for outages, capacity errors, and API connection problems."
"My identity has been stolen, wat should I do",Identity Theft,Visa,Escalate to a human,general_support,Escalated,product_issue,"Identity theft is a sensitive, high-risk issue, and the documentation only safely advises cardholders to use the Lost or Stolen Card support if their Visa card is involved rather than providing broader identity-theft remediation steps."
